"name","ring","quadrant","isNew","description"
"Java","default","languages","FALSE","A general purpose object-oriented programming language."
"TypeScript","trial","languages","FALSE","A strict syntactical superset of JavaScript that adds optional static typing."
"Scala","remove","languages","FALSE","A general purpose multi-paradigm programming language."
"IntelliJ","default","tools","FALSE","An Integrated Development Environment (IDE)."
"Vim","maintain","tools","FALSE","A text editor."
"Emacs","trial","tools","FALSE","A text editor."
"Kubernetes","default","platforms","FALSE","A container orchestration system."
"Node.js","maintain","platforms","FALSE","An open-source, cross-platform, back-end JavaScript runtime environment."
"OSv","trial","platforms","FALSE","A unikernel platform."
"Spring","default","frameworks","FALSE","An application framework and inversion of control container for the Java platform."
"Express.js","maintain","frameworks","FALSE","A back end web application framework for Node.js."
"Koa","trial","frameworks","FALSE","A back end web application framework for Node.js."
